OrderID,CustomerID,ProductID,Quantity,OrderDate,PaymentMethod,OrderStatus,Discount,Rating
O00001,C190,P012,9,2025-05-24,UPI,Cancelled,5,4
O00002,C063,P053,5,2025-04-26,Card,Shipped,0,1
O00003,C149,P003,7,2025-06-07,Net Banking,Shipped,5,3
O00004,C296,P031,6,2025-02-18,Card,Returned,20,4
O00005,C256,P049,5,2025-05-08,UPI,Delivered,15,5
O00006,C235,P032,4,2025-02-25,Cash,Delivered,0,3
O00007,C254,P066,10,2025-06-17,Net Banking,Cancelled,20,1
O00008,C056,P020,7,2025-02-04,Cash,Cancelled,15,3
O00009,C024,P003,7,2025-01-14,Card,Cancelled,20,3
O00010,C038,P007,7,2025-05-10,Net Banking,Cancelled,20,5
O00011,C061,P051,3,2025-01-25,,Cancelled,10,5
O00012,C188,P051,3,2025-02-20,Net Banking,Delivered,0,1
O00013,C071,P001,6,2025-05-02,Net Banking,Shipped,20,5
O00014,C072,P063,6,2025-06-06,Cash,Shipped,15,5
O00015,C154,P069,10,2025-03-28,Net Banking,Cancelled,15,1
O00016,C189,P063,6,2025-06-22,UPI,Returned,20,3
O00017,C014,P018,10,2025-05-02,Cash,Shipped,0,5
O00018,C246,P030,3,2025-05-15,Net Banking,Shipped,5,1
O00019,C294,P037,2,2025-02-18,UPI,Returned,10,4
O00020,C078,P009,7,2025-06-26,Card,Returned,20,5
O00021,C242,P055,1,2025-06-30,Card,Shipped,20,3
O00022,C245,P047,9,2025-04-07,Cash,Shipped,15,5
O00023,C176,P033,9,2025-04-01,Cash,Returned,5,2
O00024,C143,P031,9,2025-03-18,Card,Cancelled,10,2
O00025,C251,P015,6,2025-05-03,Cash,Cancelled,10,1
O00026,C294,P050,9,2025-04-08,Net Banking,Cancelled,5,3
O00027,C022,P039,5,2025-01-21,Cash,Returned,10,4
O00028,C110,P067,4,2025-05-18,Cash,Cancelled,5,1
O00029,C123,P064,4,2025-01-13,Card,Shipped,0,1
O00030,C212,P064,6,2025-05-01,UPI,Shipped,0,5
O00031,C081,P052,7,2025-06-17,Net Banking,Returned,5,3
O00032,C165,P074,5,2025-06-15,UPI,Delivered,20,2
O00033,C274,P033,1,2025-02-14,Net Banking,Shipped,0,4
O00034,C254,P010,3,2025-03-16,UPI,Delivered,10,5
O00035,C055,P005,6,2025-03-14,Net Banking,Returned,5,5
O00036,C240,P036,5,2025-02-19,UPI,Cancelled,5,4
O00037,C132,P003,3,2025-01-04,Cash,Cancelled,20,2
O00038,C090,P013,10,2025-06-13,Net Banking,Returned,20,3
O00039,C045,P046,7,2025-06-21,UPI,Shipped,5,4
O00040,C166,P060,4,2025-01-02,Cash,Returned,5,4
O00041,C137,P048,6,2025-03-19,UPI,Cancelled,10,2
O00042,C032,P032,2,2025-04-30,Cash,Shipped,15,5
O00043,C160,P056,2,2025-06-13,Cash,Cancelled,20,2
O00044,C113,P033,3,2025-05-03,Card,Returned,20,3
O00045,C213,P029,9,2025-05-01,Card,Shipped,20,1
O00046,C270,P022,8,2025-05-16,Cash,Delivered,20,1
O00047,C032,P073,9,2025-05-10,Card,Shipped,5,3
O00048,C267,P057,8,2025-01-30,Card,Returned,0,5
O00049,C229,P004,1,2025-04-27,Card,Returned,15,5
O00050,C030,P019,9,2025-04-29,Cash,Delivered,15,3
O00051,C002,P007,4,2025-05-29,UPI,Delivered,15,3
O00052,C033,P064,9,2025-01-16,UPI,Returned,0,3
O00053,C210,P031,3,2025-02-04,Net Banking,Cancelled,15,4
O00054,C194,P013,7,2025-01-21,Card,Cancelled,0,2
O00055,C276,P066,7,2025-05-16,Card,Shipped,0,1
O00056,C153,P026,8,2025-06-22,Net Banking,Returned,5,2
O00057,C236,P042,6,2025-02-09,Cash,Shipped,0,1
O00058,C215,P012,10,2025-01-05,Card,Shipped,0,1
O00059,C018,P003,8,2025-06-03,UPI,Shipped,0,4
O00060,C225,P020,4,2025-05-19,Card,Delivered,5,5
O00061,C149,P011,4,2025-05-28,Cash,Cancelled,5,3
O00062,C074,P008,9,2025-02-26,Net Banking,Cancelled,10,1
O00063,C286,P069,10,2025-02-14,Net Banking,Returned,0,3
O00064,C196,P005,9,2025-03-23,Net Banking,Returned,5,3
O00065,C193,P043,3,2025-05-18,Net Banking,Shipped,5,3
O00066,C074,P054,8,2025-01-15,Net Banking,Returned,20,5
O00067,C069,P015,7,2025-03-04,Cash,Shipped,10,1
O00068,C231,P035,6,2025-01-24,Card,Delivered,10,4
O00069,C021,P039,2,2025-02-18,Card,Returned,5,3
O00070,C156,P037,1,2025-02-24,Card,Delivered,15,2
O00071,C105,P064,7,2025-03-03,Cash,Cancelled,15,4
O00072,C274,P060,6,2025-03-20,Cash,Cancelled,20,4
O00073,C239,P039,2,2025-05-01,Cash,Shipped,10,3
O00074,C212,P060,1,2025-05-25,Card,Shipped,0,3
O00075,C284,P069,10,2025-05-29,Net Banking,Cancelled,5,2
O00076,C169,P062,4,2025-04-08,Card,Returned,20,3
O00077,C132,P072,8,2025-06-14,Net Banking,Returned,5,3
O00078,C087,P062,3,2025-05-20,Net Banking,Shipped,20,1
O00079,C269,P067,1,2025-01-20,UPI,Delivered,15,2
O00080,C119,P069,2,2025-02-08,UPI,Shipped,20,4
O00081,C192,P047,1,2025-06-08,Net Banking,Returned,0,1
O00082,C273,P028,9,2025-04-16,UPI,Delivered,20,3
O00083,C275,P024,5,2025-01-05,Net Banking,Shipped,0,1
O00084,C269,P042,3,2025-03-03,Card,Cancelled,10,3
O00085,C204,P050,2,2025-04-06,Net Banking,Returned,20,2
O00086,C116,P069,5,2025-06-25,UPI,Delivered,0,4
O00087,C195,P030,7,2025-05-22,Net Banking,Delivered,0,2
O00088,C043,P069,8,2025-04-22,Cash,Delivered,20,1
O00089,C118,P072,4,2025-06-27,Net Banking,Cancelled,0,1
O00090,C144,P033,9,2025-05-25,UPI,Shipped,10,1
O00091,C107,P013,10,2025-02-06,Net Banking,Delivered,10,2
O00092,C289,P006,4,2025-05-26,Net Banking,Cancelled,15,2
O00093,C041,P014,9,2025-03-30,UPI,Delivered,15,2
O00094,C039,P052,6,2025-06-04,Net Banking,Cancelled,0,3
O00095,C231,P032,8,2025-02-28,Cash,Returned,15,2
O00096,C300,P009,7,2025-01-22,Cash,Shipped,0,1
O00097,C138,P005,3,2025-04-08,Card,Returned,10,3
O00098,C055,P017,2,2025-01-02,Cash,Returned,10,3
O00099,C053,P067,3,2025-01-23,Card,Returned,15,5
O00100,C285,P071,9,2025-04-15,UPI,Delivered,0,3
O00101,C284,P051,2,2025-06-02,Cash,Returned,0,3
O00102,C212,P028,7,2025-01-22,Card,Shipped,15,2
O00103,C072,P070,5,2025-03-19,Cash,Returned,5,1
O00104,C086,P057,7,2025-03-12,Net Banking,Cancelled,15,1
O00105,C185,P024,5,2025-03-05,Net Banking,Shipped,15,1
O00106,C070,P050,5,2025-01-02,Net Banking,Cancelled,20,4
O00107,C169,P061,8,2025-03-27,Net Banking,Shipped,10,3
O00108,C103,P028,8,2025-03-22,Card,Returned,10,3
O00109,C252,P004,10,2025-03-04,Cash,Returned,10,4
O00110,C187,P028,2,2025-05-25,Card,Shipped,20,1
O00111,C237,P066,4,2025-04-23,Cash,Delivered,15,4
O00112,C072,P064,5,2025-03-03,Cash,Shipped,15,4
O00113,C038,P050,8,2025-06-03,Net Banking,Returned,20,5
O00114,C215,P062,9,2025-01-10,Cash,Delivered,0,2
O00115,C182,P050,3,2025-06-15,UPI,Returned,10,4
O00116,C055,P001,1,2025-01-26,Cash,Shipped,20,5
O00117,C286,P012,10,2025-06-26,Card,Returned,10,4
O00118,C238,P060,10,2025-06-26,Card,Cancelled,0,4
O00119,C054,P035,5,2025-04-17,UPI,Delivered,5,3
O00120,C160,P060,6,2025-04-27,Card,Returned,10,4
O00121,C050,P034,8,2025-06-28,Net Banking,Cancelled,0,3
O00122,C023,P027,2,2025-01-06,Cash,Delivered,5,2
O00123,C265,P008,3,2025-05-22,Card,Cancelled,20,4
O00124,C237,P073,4,2025-04-14,Card,Shipped,15,4
O00125,C015,P020,10,2025-02-20,Net Banking,Returned,15,1
O00126,C110,P051,4,2025-03-13,UPI,Delivered,20,2
O00127,C188,P062,6,2025-02-20,Net Banking,Delivered,10,4
O00128,C271,P027,6,2025-06-02,Net Banking,Returned,20,1
O00129,C179,P004,6,2025-04-28,Card,Cancelled,20,5
O00130,C044,P018,3,2025-03-22,UPI,Shipped,10,1
O00131,C094,P063,6,2025-06-27,Card,Returned,15,5
O00132,C071,P003,10,2025-04-09,Net Banking,Shipped,15,5
O00133,C089,P043,9,2025-02-12,Net Banking,Cancelled,5,2
O00134,C162,P067,8,2025-06-08,UPI,Cancelled,0,4
O00135,C070,P021,4,2025-04-09,Net Banking,Returned,15,4
O00136,C228,P064,8,2025-02-12,UPI,Delivered,5,3
O00137,C017,P001,5,2025-02-27,Cash,Shipped,15,5
O00138,C254,P016,9,2025-05-11,UPI,Delivered,10,5
O00139,C188,P042,9,2025-01-11,Net Banking,Shipped,15,1
O00140,C127,P052,5,2025-01-09,Net Banking,Cancelled,10,1
O00141,C225,P019,2,2025-03-02,Card,Cancelled,20,4
O00142,C085,P061,10,2025-02-05,Card,Shipped,0,5
O00143,C180,P066,9,2025-03-13,Card,Cancelled,10,3
O00144,C294,P067,5,2025-05-12,UPI,Shipped,15,1
O00145,C142,P003,3,2025-06-29,Card,Shipped,5,3
O00146,C127,P008,7,2025-05-06,Card,Cancelled,15,4
O00147,C232,P063,2,2025-06-12,UPI,Returned,20,3
O00148,C189,P028,8,2025-05-05,Cash,Delivered,0,4
O00149,C184,P011,2,2025-05-17,Net Banking,Shipped,15,2
O00150,C254,P062,5,2025-03-24,Cash,Cancelled,20,5
O00151,C067,P042,10,2025-05-05,Cash,Delivered,0,1
O00152,C236,P065,1,2025-02-01,Card,Returned,15,1
O00153,C220,P003,4,2025-06-26,Card,Cancelled,5,3
O00154,C048,P026,6,2025-03-06,UPI,Cancelled,5,1
O00155,C203,P064,5,2025-06-29,Card,Returned,0,1
O00156,C001,P053,4,2025-05-03,UPI,Shipped,20,2
O00157,C266,P042,8,2025-01-03,UPI,Cancelled,0,4
O00158,C068,P067,8,2025-01-19,Card,Returned,0,1
O00159,C053,P068,6,2025-04-05,Cash,Shipped,15,2
O00160,C074,P073,2,2025-05-16,UPI,Shipped,15,3
O00161,C110,P017,3,2025-04-16,Net Banking,Shipped,0,1
O00162,C072,P059,2,2025-05-31,Net Banking,Cancelled,15,3
O00163,C072,P043,4,2025-03-12,UPI,Shipped,20,5
O00164,C146,P048,1,2025-06-18,Cash,Shipped,20,5
O00165,C261,P030,4,2025-04-11,Cash,Delivered,5,4
O00166,C198,P065,2,2025-03-03,Net Banking,Delivered,20,1
O00167,C185,P069,6,2025-02-03,Net Banking,Returned,10,5
O00168,C089,P041,8,2025-01-19,UPI,Delivered,0,3
O00169,C111,P011,1,2025-01-16,Net Banking,Cancelled,20,4
O00170,C217,P059,7,2025-01-22,Card,Cancelled,0,3
O00171,C041,P025,9,2025-02-22,Card,Cancelled,15,5
O00172,C034,P034,5,2025-06-28,Net Banking,Shipped,0,2
O00173,C045,P043,7,2025-01-30,Net Banking,Delivered,10,2
O00174,C062,P041,1,2025-02-05,UPI,Shipped,15,3
O00175,C268,P044,9,2025-03-08,Card,Cancelled,5,3
O00176,C061,P034,1,2025-03-27,Net Banking,Cancelled,20,1
O00177,C135,P075,10,2025-06-10,UPI,Returned,15,5
O00178,C185,P062,1,2025-05-08,Card,Cancelled,5,3
O00179,C053,P015,10,2025-06-22,UPI,Shipped,20,1
O00180,C023,P071,1,2025-03-04,UPI,Returned,10,4
O00181,C077,P022,3,2025-01-10,Net Banking,Shipped,10,2
O00182,C214,P028,6,2025-03-11,UPI,Cancelled,0,5
O00183,C027,P031,3,2025-02-27,UPI,Returned,0,4
O00184,C145,P029,5,2025-03-25,UPI,Returned,0,3
O00185,C103,P031,5,2025-05-25,Cash,Shipped,15,3
O00186,C253,P017,4,2025-05-20,Card,Shipped,0,4
O00187,C013,P001,4,2025-05-19,Cash,Delivered,10,1
O00188,C193,P012,5,2025-01-27,Card,Shipped,15,4
O00189,C031,P049,3,2025-03-13,UPI,Delivered,5,5
O00190,C212,P054,6,2025-04-28,UPI,Delivered,20,2
O00191,C202,P057,2,2025-06-01,UPI,Returned,5,2
O00192,C150,P057,5,2025-03-22,Net Banking,Cancelled,10,4
O00193,C140,P006,4,2025-01-20,Card,Shipped,20,1
O00194,C080,P070,2,2025-02-12,Net Banking,Returned,10,4
O00195,C062,P041,9,2025-04-02,Card,Returned,10,4
O00196,C136,P009,2,2025-01-24,Card,Cancelled,20,1
O00197,C111,P056,6,2025-02-07,UPI,Shipped,10,4
O00198,C263,P045,1,2025-06-23,Cash,Cancelled,5,1
O00199,C208,P020,8,2025-05-23,Card,Delivered,15,1
O00200,C072,P032,2,2025-01-04,UPI,Shipped,5,2
O00201,C206,P011,6,2025-06-25,UPI,Cancelled,0,1
O00202,C034,P040,4,2025-06-15,Net Banking,Shipped,0,3
O00203,C063,P033,1,2025-04-29,UPI,Shipped,20,4
O00204,C203,P054,8,2025-01-08,Net Banking,Returned,5,3
O00205,C110,P066,3,2025-03-12,Cash,Returned,5,1
O00206,C126,P008,5,2025-05-08,Net Banking,Returned,0,1
O00207,C144,P065,7,2025-02-05,Net Banking,Shipped,20,2
O00208,C279,P002,1,2025-04-08,Cash,Returned,20,4
O00209,C177,P007,10,2025-05-09,Cash,Returned,10,2
O00210,C014,P036,6,2025-06-02,Card,Delivered,10,1
O00211,C242,P016,9,2025-04-02,Card,Shipped,0,2
O00212,C124,P053,5,2025-05-17,UPI,Shipped,20,4
O00213,C182,P044,3,2025-02-15,Card,Cancelled,10,5
O00214,C015,P066,6,2025-05-26,Card,Shipped,15,5
O00215,C159,P027,3,2025-05-06,UPI,Delivered,0,2
O00216,C113,P070,1,2025-05-15,Net Banking,Delivered,10,5
O00217,C104,P027,3,2025-03-29,Card,Cancelled,0,1
O00218,C076,P041,10,2025-06-30,Card,Delivered,20,3
O00219,C038,P075,6,2025-06-30,Net Banking,Delivered,10,3
O00220,C166,P041,3,2025-02-10,Net Banking,Returned,10,2
O00221,C288,P015,10,2025-04-02,Card,Shipped,15,3
O00222,C151,P005,3,2025-02-15,UPI,Returned,20,1
O00223,C094,P032,10,2025-03-23,Card,Delivered,15,2
O00224,C170,P032,2,2025-03-02,Cash,Cancelled,5,1
O00225,C172,P053,8,2025-01-03,Cash,Shipped,5,1
O00226,C180,P044,5,2025-01-28,UPI,Delivered,15,4
O00227,C215,P038,3,2025-04-16,Net Banking,Returned,10,5
O00228,C193,P006,2,2025-05-03,Card,Shipped,15,1
O00229,C018,P071,5,2025-01-06,Cash,Cancelled,0,1
O00230,C176,P050,3,2025-04-07,Card,Delivered,20,1
O00231,C174,P060,10,2025-06-07,Net Banking,Delivered,15,2
O00232,C223,P037,3,2025-01-14,UPI,Cancelled,5,2
O00233,C210,P018,9,2025-05-19,Cash,Cancelled,10,2
O00234,C050,P029,1,2025-04-11,Net Banking,Shipped,0,3
O00235,C002,P044,7,2025-01-23,Cash,Returned,5,1
O00236,C014,P067,4,2025-02-13,Cash,Delivered,15,1
O00237,C158,P027,7,2025-05-01,Net Banking,Cancelled,0,5
O00238,C199,P019,3,2025-04-05,Net Banking,Cancelled,5,4
O00239,C023,P016,5,2025-04-23,Net Banking,Cancelled,5,3
